name;desciption;type;address;working_hours
Рыбная Деревня;Этнографический и торгово-ремесленный комплекс в двух шагах от острова Канта и Кафедрального собора — это Рыбная деревня в Калининграде. Воссозданный уголок старого Кенигсберга протянулся между Медовым и Высоким мостами. Часть зданий выполнена в так называемом орденском стиле, другая часть — в стиле барокко и классицизма.;Достопримечательность;ул. Октябрьская, 6А, Калининград, Калининградская обл., 236006;Утро, День, Ночь
Юбилейный мост;Юбилейный мост — пешеходный разводной мост через реку Преголю в Калининграде. Мост назван так потому что его открытие, состоявшееся 1 июля 2005 года, было приурочено к 750-летнему юбилею города.;Достопримечательность;Калининград, Калининградская обл., 236006;Утро, День, Ночь
Рыбный клуб;Ресторан морской кухни;Ресторан;ул. Октябрьская, 4А, Калининград, Калининградская обл., 236006;День, Ночь
Магия кофе;Кофейня;Кафе;ул. Октябрьская, 4, Калининград, Калининградская обл., 236006;Утро, День, Ночь
Верфь;Кафе и бар «Верфь» - симпатичное место в исторической части г. Калининграда.;Бар;ул. Октябрьская, 4, Калининград, Калининградская обл., 236006;День, Ночь
Мадам Буше;Уютный ресторан на берегу реки в маяке.;Ресторан;ул. Октябрьская, 2а, Калининград, Калининградская обл., 236005;День, Ночь
Видовая башня Маяк;Видовая башня Маяк, также известная как смотровая башня Маяк или Маяк в Рыбной деревне - одна из достопримечательностей и популярное туристическое место Калининграда, на верхней площадке которого расположена смотровая площадка, с которой открываются шикарные панорамные виды города.;Достопримечательность;ул. Октябрьская, 2А, Калининград, Калининградская обл., 236039;Утро, День
Новая Синагога;Синагога в Кёнигсберге, построенная в 1890-е гг. и уничтоженная во время Второй мировой войны. В 2011—2018 гг. отстроена в формах, приближенных к первоначальным.;Достопримечательность;ул. Октябрьская, 1а, Калининград, Калининградская обл., 236006;Утро, День
Деревянный мост;Автомобильный разводной мост через реку Пеголю 1904 года постройки.;Достопримечательность;Калининград, Калининградская обл., 236006;Утро, День, Ночь
Памятный знак морякам-балтийцам;Памятный знак морякам-балтийцам — памятник Великой Отечественной войны в Калининграде. Расположен на Московском проспекте, рядом с рекой Преголей и Деревянным мостом. Является памятником истории местного значения. Народное название — «торпедный катер» или просто «катер».;Достопримечательность;Московский пр., Калининград, Калининградская обл., 236006;Утро, День, Ночь
Сквер на Московском проспекте;Парк;Место активного отдыха;Московский пр., Калининград, Калининградская обл., 236006;Утро, День, Ночь
Медовый мост;Первый мост, соединяющий острова Ломзе и Кнайпхоф, был построен в Кёнигсберге с разрешения герцога Альбрехта в 1542 году.;Достопримечательность;ул. Канта, Калининград, Калининградская обл., 236039;Утро, День, Ночь
Кафедральный собор;Собор в стиле кирпичной готики, реконструированный после Второй мировой войны, и могила Иммануила Канта.;Достопримечательность;ул. Канта, 1, Калининград, Калининградская обл., 236039;День
Музей Мирового океана;Посвященный океану большой музей и исследовательский центр с кораблями, гидросамолетами и подводными лодками.;Достопримечательность;наб. Петра Великого, 1, Калининград, Калининградская обл., 236006;День
Тетка Фишер;Немецкий ресторан с русской душой «Тётка Фишер».;Ресторан;ул. Шевченко, 11 А, Калининград, Калининградская обл., 236040;День, Ночь
Поварёшка;Кафе;Кафе;пр-т. Ленинский, 8, Калининград, Калининградская обл., 236029;Утро, День, Ночь
Чайхана Калининград-Ташкент;Ресторан узбекской кухни;Ресторан;ул. Театральная, 21, Калининград, Калининградская обл., 236006;Утро, День, Ночь
Мать-Россия;"Монумент ""Мать-Россия"" работы скульптора Б.В. Едунова установлен в Калининграде в 1974 году. Ранее на гранитном постаменте возвышалась скульптура Иосифа Виссарионовича Сталина.";Достопримечательность;ул. Театральная, 19, Калининград, Калининградская обл., 236006;Утро, День, Ночь
Zötler Bier;Ресторан немецкой кухни;Ресторан;пр-т. Ленинский, 3, Калининград, Калининградская обл., 236034;День, Ночь
Площадь Победы;В настоящее время это не только главная площадь города, но также место сосредоточения многих организаций и учреждений, важный транспортный узел, где встречаются основные артерии города - Ленинский, Советский и Гвардейский проспекты, улица Черняховского и проспект Мира.;Достопримечательность;Калининград, Калининградская обл., 236022;Утро, День, Ночь
Mакдоналдс МакАвто;Фастфуд;Ресторан;Советский пр., 4В, Калининград, Калининградская обл., 236022;Утро, День, Ночь
Северный вокзал;Остановка;Достопримечательность;Калининград, Калининградская обл., 236022;День
Костёл Святого Адальберта;Католическая церковь;Достопримечательность;ул. Александра Невского, 78-в, Калининград, Калининградская обл., 236016;День
Дворик;К услугам гостей главный зал на 50 посадочных мест и летнее кафе  на 50 посадочных мест.;Кафе;ул. Александра Невского, 78, лит. Б, Калининград, Калининградская обл., 236008;Утро, День
Бюст Эрнста Тельмана;Исторический памятник;Достопримечательность;ул. Парковая Аллея, Калининград, Калининградская обл., 236008;Утро, День, Ночь
